study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
ablation,Full HAT,168330,9,0.0005,200,-66.99815368652344,48147.78309869766,0.9437422999180853,803,21.62,129.06,187
ablation,Full HAT,168331,0,0.0005,200,-57.798240661621094,77756.99681079388,1.143140599830076,904,39.21,158.18,177
ablation,Full HAT,168331,1,0.0005,200,-62.65711212158203,102565.18143177032,1.0123727000318468,957,46.21,179.22,181
ablation,Full HAT,168331,2,0.0005,200,-62.25359344482422,95047.17623078823,1.0471186998765916,940,44.08,180.28,182
ablation,Full HAT,168331,3,0.0005,200,-69.68720245361328,87120.38299107552,1.157443800009787,946,45.375,178.12,184
ablation,Full HAT,168331,4,0.0005,200,-66.1331787109375,76373.77857005596,1.0241660999599844,906,40.945,162.095,166
ablation,Full HAT,168331,5,0.0005,200,-60.85447692871094,68257.38391149044,0.9128974999766797,866,30.395,110.01,180
ablation,Full HAT,168331,6,0.0005,200,-62.946128845214844,41355.25668120384,0.9440216000657529,788,17.605,105.52,188
ablation,Full HAT,168331,7,0.0005,200,-67.27587890625,77763.92783594131,1.3075443000998348,945,41.86,175.93,180
ablation,Full HAT,168331,8,0.0005,200,-67.16241455078125,82551.513453722,1.000802000053227,935,42.945,167.06,172
ablation,Full HAT,168331,9,0.0005,200,-60.93983459472656,95046.8002165556,1.036937699886039,963,47.38,184.64,181
ablation,Full HAT,168335,0,0.0005,200,-90.38709259033203,39180.596100091934,1.0224917000159621,766,19.17,77.985,186
ablation,Full HAT,168335,1,0.0005,200,-94.55097961425781,123347.48486542702,1.0008831999730319,932,43.04,168.3,184
ablation,Full HAT,168335,2,0.0005,200,-93.2452392578125,121934.94338274002,1.103962300112471,952,45.835,181.8,178
ablation,Full HAT,168335,3,0.0005,200,-91.92472839355469,102621.89969408512,1.1805643998086452,927,40.555,168.645,182
ablation,Full HAT,168335,4,0.0005,200,-94.5458755493164,97781.68132829666,1.0827909999061376,940,44.52,177.54,182
ablation,Full HAT,168335,5,0.0005,200,-93.76473236083984,116755.01316821575,1.0829316000454128,934,38.39,164.46,178
ablation,Full HAT,168335,6,0.0005,200,-93.18773651123047,66452.73972511292,0.9605004999320954,794,22.09,72.885,188
ablation,Full HAT,168335,7,0.0005,200,-94.16793060302734,95731.82553195953,1.1059155000839382,945,44.625,178.195,186
ablation,Full HAT,168335,8,0.0005,200,-92.70536041259766,76285.77923965454,0.9926643001381308,857,32.96,130.5,185
ablation,Full HAT,168335,9,0.0005,200,-91.5702133178711,120730.8296778202,1.19154669996351,941,43.96,168.39,187
ablation,Full HAT,168868,0,0.0005,200,-98.69291687011719,74411.91950273514,1.1017833000514656,932,41.465,117.82,185
ablation,Full HAT,168868,1,0.0005,200,-98.63208770751953,90528.05110883713,1.1453005000948906,937,44.32,167.735,191
ablation,Full HAT,168868,2,0.0005,200,-98.6545181274414,80315.88433361053,1.1657825999427587,938,39.195,182.375,188
