study,variant,instance,seed,alpha,trials,final_best_error,total_cost,runtime_seconds,objective_evaluations,mean_max_fidelity,mean_population_budget,burst_events
sensitivity,alpha=0,168329,4,0.0,60,-28.264110565185547,15330.417603135109,0.10211339988745749,245,26.083333333333332,121.6,39
sensitivity,alpha=0,168908,0,0.0,60,-81.94775390625,114966.87217855453,0.104991199914366,245,29.416666666666668,120.58333333333333,38
sensitivity,alpha=0,168908,1,0.0,60,-82.07600402832031,141269.1906118393,0.09563190001063049,252,34.81666666666667,132.48333333333332,45
sensitivity,alpha=0,168908,2,0.0,60,-79.39112091064453,102622.14196586609,0.11139130010269582,241,28.666666666666668,131.98333333333332,36
sensitivity,alpha=0,168908,3,0.0,60,-81.1109619140625,130684.2716832161,0.10490790009498596,255,31.783333333333335,136.3,47
sensitivity,alpha=0,168908,4,0.0,60,-80.10111236572266,128093.51906871796,0.10454849991947412,244,29.616666666666667,141.41666666666666,45
sensitivity,alpha=0,189873,0,0.0,60,-82.94473266601562,187379.48810863495,0.13249019999057055,242,27.216666666666665,130.6,40
sensitivity,alpha=0,189873,1,0.0,60,-74.88462829589844,81462.82141017914,0.10996650019660592,211,13.6,52.3,53
sensitivity,alpha=0,189873,2,0.0,60,-80.65772247314453,188492.65937137604,0.14490960002876818,242,29.066666666666666,139.61666666666667,45
sensitivity,alpha=0,189873,3,0.0,60,-84.87250518798828,221228.4468574524,0.3013695999979973,236,24.366666666666667,115.23333333333333,44
sensitivity,alpha=0,189873,4,0.0,60,-74.27872467041016,105974.76383399963,0.28581869998015463,225,15.8,70.15,37
sensitivity,alpha=0.0001,3945,0,0.0001,60,-98.44110107421875,8708.62793970108,0.2905990001745522,218,15.316666666666666,94.38333333333334,40
sensitivity,alpha=0.0001,3945,1,0.0001,60,-98.4668960571289,16947.012723207474,0.3277716999873519,241,23.4,80.36666666666666,52
sensitivity,alpha=0.0001,3945,2,0.0001,60,-97.8454360961914,15399.004039287567,0.3135027999524027,241,21.7,148.98333333333332,48
sensitivity,alpha=0.0001,3945,3,0.0001,60,-98.5093994140625,20082.827721595764,0.354300299892202,246,29.166666666666668,139.11666666666667,50
