dataset,algorithm,seed,final_error,auc_log_cost
vehicle,hagfish,3,0.0431623931623932,0.19379501375487101
vehicle,hagfish,4,0.0272893772893773,0.43654822161257745
vehicle,hagfish,5,0.0233211233211232,0.025639419060471545
vehicle,hagfish,6,0.0272893772893773,0.46736000148132184
vehicle,hagfish,7,0.0471306471306471,0.2831893712676176
vehicle,hagfish,8,0.0233211233211232,0.036829526217190225
vehicle,hagfish,9,0.0234432234432234,0.0320227564938919
vehicle,hyperband,0,0.0430402930402931,0.11238370055433898
vehicle,hyperband,1,0.0314045653028702,0.474543194299152
vehicle,hyperband,2,0.0431623931623932,0.29740195955628596
vehicle,hyperband,3,0.047008547008547,0.19276351512875026
vehicle,hyperband,4,0.0233211233211232,0.44038250958411534
vehicle,hyperband,5,0.0233211233211232,0.026593727909517223
vehicle,hyperband,6,0.0195970695970696,0.4898091755744362
vehicle,hyperband,7,0.0430402930402931,0.28348338328904144
vehicle,hyperband,8,0.0194749694749694,0.03689213877183796
vehicle,hyperband,9,0.0234432234432234,0.03363424366674009
vehicle,sha,0,0.0430402930402931,0.11057816594008767
vehicle,sha,1,0.0234432234432234,0.47330426006034515
vehicle,sha,2,0.0431623931623932,0.294849944598256
vehicle,sha,3,0.0430402930402931,0.18978142802215697
vehicle,sha,4,0.0233211233211232,0.44005078895164285
vehicle,sha,5,0.027167277167277,0.027167277167277
vehicle,sha,6,0.0235653235653234,0.48883631778687214
vehicle,sha,7,0.0391941391941392,0.2822462397586648
vehicle,sha,8,0.0194749694749694,0.03503906285861167
vehicle,sha,9,0.0272893772893773,0.03312418221937779
vehicle,tpe,0,0.0430402930402931,0.11495094107238871
vehicle,tpe,1,0.0314045653028702,0.48598515986371216
vehicle,tpe,2,0.0391941391941392,0.30179764045572627
vehicle,tpe,3,0.047008547008547,0.19489537102000465
vehicle,tpe,4,0.0233211233211232,0.44491228614779016
vehicle,tpe,5,0.027167277167277,0.027167277167277
vehicle,tpe,6,0.0235653235653235,0.4916999626920616
vehicle,tpe,7,0.0391941391941392,0.2853723395013059
vehicle,tpe,8,0.0194749694749694,0.03863994540686264
vehicle,tpe,9,0.0234432234432234,0.0342053357250247
