algorithm,instance,seed,final_best_error,total_cost
bohb,126029,8,-92.17283630371094,57883.66064929962
bohb,126029,9,-92.71143341064452,59246.69164323807
bohb,146212,0,-97.9076690673828,83109.44763755798
bohb,146212,1,-97.59725952148438,98869.33660697936
bohb,146212,2,-97.7900161743164,88099.97547578812
bohb,146212,3,-97.7749481201172,75304.05606889725
bohb,146212,4,-97.6525650024414,87751.13090443611
bohb,146212,5,-97.62923431396484,94527.47263526917
bohb,146212,6,-97.5040283203125,84252.23422718048
bohb,146212,7,-97.32270050048828,77532.37810921669
bohb,146212,8,-97.0088882446289,85291.94194555283
bohb,146212,9,-97.80245971679688,80496.66166734695
bohb,167104,0,-92.83413696289062,31197.513820022345
bohb,167104,1,-93.37223815917967,37744.77067375183
bohb,167104,2,-93.05524444580078,36371.14202576876
bohb,167104,3,-93.33660125732422,32741.739467054605
bohb,167104,4,-92.56212615966795,34213.75370442867
bohb,167104,5,-92.66533660888672,39389.55852609873
bohb,167104,6,-93.90509796142578,33382.236582517624
bohb,167104,7,-93.27544403076172,32432.34542348981
bohb,167104,8,-92.43765258789062,30857.93230754137
bohb,167104,9,-92.208740234375,30117.281638741493
bohb,167149,0,-97.091552734375,34120.869457662106
bohb,167149,1,-97.22335815429688,40307.98477077484
bohb,167149,2,-96.46641540527344,38447.696889698505
bohb,167149,3,-96.55010223388672,35052.00479263067
bohb,167149,4,-97.2683334350586,38254.19742965698
bohb,167149,5,-96.42552185058594,41119.75770258904
bohb,167149,6,-96.64354705810548,36208.97334551811
bohb,167149,7,-96.98534393310548,35015.433475375175
bohb,167149,8,-96.83668518066406,32710.49489915371
bohb,167149,9,-96.82586669921876,33705.792686223984
bohb,167152,0,-96.76915740966795,61579.59027934074
bohb,167152,1,-95.96946716308594,70002.6525657177
bohb,167152,2,-96.322998046875,68762.93068695068
bohb,167152,3,-96.0775375366211,64776.107169389725
bohb,167152,4,-96.1723861694336,65710.19292247295
bohb,167152,5,-96.05050659179688,69473.87931203842
bohb,167152,6,-96.03865814208984,66061.71727478504
bohb,167152,7,-96.392822265625,63342.13684117794
bohb,167152,8,-96.20612335205078,59874.36193358898
bohb,167152,9,-96.49913787841795,62422.2688754797
bohb,167161,0,-83.62183380126953,38506.66350638866
bohb,167161,1,-83.21961212158203,44875.14225912094
bohb,167161,2,-84.90199279785156,43673.770938277245
bohb,167161,3,-84.0370101928711,40567.813727617264
bohb,167161,4,-83.74588775634766,41102.17760658264
bohb,167161,5,-82.73908233642578,46471.38162302971
bohb,167161,6,-86.52510833740234,41143.2936091423
bohb,167161,7,-84.32913970947266,39033.58505821228
bohb,167161,8,-84.37831115722656,39457.17083120346
bohb,167161,9,-84.17271423339844,38188.53023517132
bohb,167168,0,-80.32540893554688,44417.71975058317
bohb,167168,1,-82.50079345703125,50068.330649614334
bohb,167168,2,-79.40737915039062,48262.930423140526
bohb,167168,3,-81.6363525390625,46247.80340516567
bohb,167168,4,-81.14385986328125,46566.91815471649
bohb,167168,5,-77.00384521484375,53029.17923605442
bohb,167168,6,-80.1825180053711,47128.34592074156
bohb,167168,7,-82.65351104736328,45643.22079819441
bohb,167168,8,-80.86919403076172,43893.61915934086
bohb,167168,9,-81.468505859375,43713.19669413567
bohb,167181,0,-90.24810028076172,40716.86448979378
bohb,167181,1,-90.9041519165039,47803.57506906986
bohb,167181,2,-91.77596282958984,46451.50188946724
bohb,167181,3,-91.83367156982422,42982.15118277073
bohb,167181,4,-91.86589813232422,43662.05038464069
bohb,167181,5,-91.43682861328124,48907.27908915281
bohb,167181,6,-91.34730529785156,44654.41700720787
bohb,167181,7,-90.97008514404295,41721.51350980997
bohb,167181,8,-90.65382385253906,42018.26243042946
bohb,167181,9,-91.85279083251952,40791.543806791306
bohb,167184,0,-80.29345703125,43031.19056522846
bohb,167184,1,-82.12863159179688,48562.50178360939
bohb,167184,2,-81.72434997558594,49167.61137330532
bohb,167184,3,-81.9572525024414,43732.96067547798
bohb,167184,4,-82.3041763305664,44262.13442480564
bohb,167184,5,-80.62315368652344,50330.64040219784
bohb,167184,6,-82.9219970703125,45633.281061172485
bohb,167184,7,-81.88228607177734,44970.52392494679
bohb,167184,8,-82.9552993774414,43469.937089324
bohb,167184,9,-80.29997253417969,42378.93668782711
bohb,167185,0,-95.59326171875,190840.5260503292
bohb,167185,1,-95.7359619140625,212883.55291986465
bohb,167185,2,-96.27437591552734,209279.26324892044
bohb,167185,3,-95.49271392822266,198299.06059670448
bohb,167185,4,-95.68836975097656,206922.30717086792
bohb,167185,5,-95.40074157714844,205263.35801029205
bohb,167185,6,-95.70165252685548,204214.005256176
bohb,167185,7,-95.71197509765624,201310.2589828968
bohb,167185,8,-96.04125213623048,187636.3134338856
bohb,167185,9,-95.86779022216795,190711.0375683308
bohb,167190,0,-85.43746185302734,45226.93225419521
bohb,167190,1,-85.68081665039062,53758.52918791771
